(DT                  , 5.0000000000000000e-03)
(DT_MAX              , 5.0000000000000000e-03)
(DT_MIN              , 5.0000000000000000e-03)
(DT_PRINT            , 1.0000000000000000e-02)
(GUIDANCE_GAIN       , 3.0000000000000000e+00)
(Q_S                 , -3.6758380566571072e-03)
(Q_S_MEAS            , -3.6758380566571072e-03)
(T                   , 5.1250000000000000e+00)
(THETA               , -2.9644022249812084e-01)
(THETA_DOT           , -1.1027514169971322e-02)
(THETA_DOT_CMD       , -1.1027514169971322e-02)
(THETA_IC_DG         , 0.0000000000000000e+00)
(T_STOP              , 1.0000000000000000e+01)
(VELOCITY            , 1.0000000000000000e+02)
(X                   , 5.7138498821452656e-01)
(XD                  , 9.5639852527231648e+01)
(XDD                 , 0.0000000000000000e+00)
(Z                   , 1.7448908807343064e-01)
(ZD                  , 2.9206482303923260e+01)
