(DT                  ,  5.000000000000000e-03)
(DT_MAX              ,  5.000000000000000e-03)
(DT_MIN              ,  1.000000000000000e-03)
(DT_PRINT            ,  1.000000000000000e-02)
(GRAVITY             ,  9.880000000000000e+00)
(Mass                ,  1.000000000000000e+00)
(SvDampingCoefficient,  8.880000000000001e+00)
(SvSpringCoefficient ,  3.947000000000000e+01)
(T                   ,  2.505000000000000e+00)
(T_STOP              ,  2.500000000000000e+00)
(X                   , -2.503187183615973e-01)
(XD                  ,  3.051681389187289e-05)
(XDD                 , -1.935559758585725e-04)
